timestamp,mq2,mq135
27.855,0.920,0.710
27.971,0.910,0.710
28.085,0.920,0.710
28.194,0.920,0.710
28.308,0.920,0.710
28.424,0.920,0.710
28.513,0.920,0.700
28.643,0.910,0.700
28.759,0.920,0.700
28.847,0.910,0.700
28.966,0.920,0.700
29.047,0.920,0.710
29.164,0.920,0.700
29.260,0.930,0.700
29.344,0.920,0.710
29.459,0.910,0.700
29.558,0.920,0.690
29.677,0.920,0.710
29.745,0.920,0.700
29.834,0.920,0.710
29.956,0.930,0.710
30.062,0.920,0.700
30.213,0.920,0.700
30.285,0.920,0.700
30.406,0.920,0.710
30.520,0.910,0.700
30.638,0.920,0.710
30.754,0.930,0.710
30.843,0.920,0.700
30.959,0.930,0.700
31.051,0.910,0.710
31.144,0.910,0.700
31.261,0.910,0.710
31.356,0.910,0.700
31.449,0.910,0.700
31.555,0.920,0.720
31.651,0.930,0.710
31.746,0.930,0.710
31.862,0.910,0.700
31.945,0.910,0.700
32.063,0.910,0.700
32.180,0.920,0.710
32.294,0.930,0.710
32.412,0.920,0.710
32.503,0.920,0.700
32.615,0.910,0.710
32.734,0.910,0.700
32.849,0.910,0.710
32.944,0.910,0.700
33.033,0.920,0.710
33.153,0.910,0.710
33.255,0.920,0.700
33.357,0.920,0.710
33.450,0.930,0.710
33.541,0.920,0.700
33.636,0.910,0.700
33.723,0.910,0.700
33.843,0.910,0.700
33.962,0.910,0.700
34.077,0.920,0.710
34.162,0.920,0.710
34.295,0.920,0.700
34.410,0.920,0.700
34.505,0.910,0.700
34.623,0.910,0.700
34.738,0.920,0.710
34.834,0.920,0.710
34.949,0.920,0.710
35.043,0.910,0.690
35.139,0.920,0.700
35.228,0.920,0.710
35.335,0.910,0.700
35.428,0.910,0.710
35.542,0.930,0.710
35.624,0.920,0.710
35.740,0.910,0.700
35.836,0.920,0.700
35.950,0.920,0.710
36.065,0.920,0.700
36.157,0.910,0.700
36.293,0.920,0.700
36.393,0.920,0.700
36.508,0.930,0.710
36.610,0.930,0.710
36.714,0.920,0.710
36.834,0.930,0.700
36.923,0.920,0.700
37.039,0.930,0.710
37.135,0.920,0.710
37.232,0.920,0.690
37.324,0.920,0.710
37.415,0.920,0.710
37.534,0.930,0.700
37.625,0.920,0.700
37.718,0.930,0.720
37.826,0.920,0.700
37.931,0.930,0.700
38.043,0.920,0.710
38.161,0.930,0.710
38.288,0.920,0.710
38.383,0.930,0.710
38.525,0.930,0.710
38.616,0.920,0.700
38.708,0.920,0.710
38.819,0.920,0.710
38.919,0.920,0.700
39.037,0.920,0.710
39.131,0.920,0.700
39.213,0.930,0.710
39.313,0.930,0.710
39.434,0.940,0.720
39.524,0.930,0.710
39.619,0.920,0.700
39.717,0.920,0.700
39.805,0.930,0.710
39.922,0.930,0.710
40.035,0.930,0.700
40.153,0.920,0.700
40.260,0.930,0.710
40.367,0.920,0.700
40.478,0.920,0.700
40.598,0.920,0.700
40.725,0.930,0.710
40.813,0.920,0.700
40.933,0.920,0.700
41.027,0.920,0.700
41.112,0.920,0.700
41.222,0.920,0.700
41.312,0.930,0.710
41.431,0.920,0.710
41.524,0.920,0.700
41.615,0.930,0.700
41.751,0.930,0.700
41.822,0.930,0.710
41.915,0.920,0.700
42.026,0.930,0.710
42.149,0.930,0.700
42.262,0.920,0.700
42.380,0.930,0.720
42.472,0.930,0.710
42.599,0.920,0.710
42.715,0.930,0.700
42.806,0.920,0.700
42.905,0.930,0.710
43.013,0.930,0.700
43.128,0.940,0.720
43.218,0.920,0.700
43.318,0.930,0.700
43.412,0.930,0.700
43.513,0.920,0.710
43.613,0.930,0.710
43.692,0.920,0.710
43.810,0.920,0.710
43.931,0.930,0.710
44.054,0.920,0.710
44.152,0.920,0.700
44.264,0.920,0.710
44.376,0.920,0.710
44.466,0.920,0.710
44.586,0.920,0.710
44.703,0.920,0.710
44.820,0.920,0.710
44.903,0.920,0.700
45.019,0.920,0.710
45.109,0.930,0.710
45.206,0.920,0.710
45.312,0.930,0.710
45.407,0.930,0.710
45.567,0.920,0.700
45.590,0.930,0.710
45.709,0.940,0.710
45.800,0.930,0.700
45.920,0.940,0.710
46.035,0.940,0.710
46.151,0.930,0.710
46.240,0.940,0.700
46.360,0.930,0.710
46.480,0.930,0.700
46.577,0.930,0.710
46.696,0.930,0.700
46.813,0.930,0.710
46.913,0.930,0.710
47.013,0.930,0.710
47.105,0.930,0.720
47.199,0.920,0.700
47.310,0.920,0.700
47.405,0.930,0.700
47.502,0.930,0.690
47.594,0.930,0.720
47.703,0.920,0.710
47.795,0.920,0.700
47.915,0.930,0.710
48.006,0.920,0.710
48.149,0.930,0.710
48.252,0.920,0.710
48.341,0.920,0.700
48.460,0.920,0.700
48.578,0.930,0.710
48.695,0.940,0.710
48.794,0.930,0.710
48.909,0.930,0.710
49.000,0.920,0.710
49.096,0.930,0.700
49.195,0.930,0.710
49.290,0.930,0.710
49.385,0.930,0.700
49.499,0.930,0.710
49.593,0.920,0.700
49.686,0.930,0.700
49.782,0.930,0.710
49.889,0.930,0.700
50.009,0.930,0.720
50.127,0.920,0.710
50.223,0.930,0.710
50.343,0.930,0.700
50.459,0.930,0.700
50.574,0.930,0.700
50.727,0.930,0.710
50.793,0.930,0.710
50.886,0.930,0.700
51.000,0.930,0.710
51.089,0.930,0.700
51.188,0.940,0.710
51.308,0.950,0.710
51.386,0.930,0.700
51.473,0.940,0.700
51.589,0.950,0.710
51.683,0.940,0.700
51.780,0.950,0.710
51.898,0.960,0.710
52.014,0.940,0.700
52.124,0.940,0.700
52.215,0.950,0.700
52.344,0.950,0.700
52.462,0.960,0.710
52.550,0.950,0.700
52.660,0.940,0.700
52.771,0.940,0.700
52.870,0.940,0.700
52.991,0.940,0.710
53.084,0.940,0.700
53.184,0.950,0.710
53.299,0.940,0.710
53.362,0.940,0.710
53.479,0.950,0.710
53.584,0.950,0.710
53.680,0.940,0.710
53.774,0.950,0.710
53.893,0.940,0.710
53.990,0.940,0.710
54.109,0.950,0.720
54.224,0.940,0.710
54.340,0.940,0.710
54.433,0.950,0.710
54.565,0.940,0.710
54.661,0.940,0.700
54.780,0.930,0.700
54.875,0.930,0.710
54.964,0.930,0.700
55.086,0.940,0.700
55.175,0.930,0.700
55.259,0.950,0.710
55.381,0.940,0.700
55.455,0.930,0.700
55.570,0.940,0.700
55.660,0.930,0.710
55.777,0.950,0.700
55.885,0.950,0.710
56.004,0.950,0.710
56.091,0.950,0.710
56.220,0.950,0.700
56.315,0.950,0.700
56.426,0.950,0.700
56.559,0.940,0.700
56.648,0.940,0.700
56.766,0.940,0.710
56.870,0.950,0.710
56.971,0.950,0.710
57.083,0.950,0.710
57.174,0.950,0.700
57.273,0.940,0.700
57.371,0.940,0.700
57.464,0.940,0.700
57.554,0.950,0.710
57.645,0.940,0.700
57.746,0.940,0.700
57.862,0.940,0.710
